x;y;z
15;3;11
17;1;15
17;13;17
7;3;7
15;13;15
17;5;5
17;1;13
19;13;17
7;16;17
3;17;19
14;7;19
16;3;19
6;1;7
4;12;15
14;15;6
15;17;13
17;19;5
7;19;1
3;17;1
1;17;11
0;16;3
0;16;1
0;17;1
0;17;0
0;18;11
0;18;15
11;7;5
15;3;3
17;2;1
19;1;11
19;1;15
19;2;17
19;2;7
19;2;3
19;1;1
19;0;0
19;0;0
19;0;0
19;11;0
19;15;12
7;17;16
3;18;17
1;17;19
0;16;19
0;16;7
0;16;3
0;16;1
0;18;0
11;7;11
15;3;3
17;1;1
19;0;13
19;1;15
19;1;17
19;1;19
19;2;19
19;2;19
19;1;19
19;1;19
19;1;7
7;11;3
3;15;1
1;17;0
0;19;0
11;19;0
3;17;0
1;17;0
1;17;0
0;17;0
0;17;0
0;17;0
0;17;0
0;17;0
0;18;0
11;7;11
15;4;3
17;3;13
19;1;17
19;1;17
19;2;19
19;2;19
19;2;19
19;1;7
19;0;3
7;11;1
15;3;0
5;13;0
1;17;11
13;17;3
3;19;13
13;7;5
5;15;1
13;5;1
5;13;11
1;5;15
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
